"sweep","cloud","dim","n_total","caliper","caliper_value","seed_index","seed","memory_mode","status","elapsed_s","heap_mb","n_pairs","total_cost","certified_optimal","duality_gap","n_rounds","seed_width","candidate_edges","possible_edges","edges_evaluated","equal_to_dense","cost_gap_vs_dense"
"cloud","clustered",8,10000,"none",Inf,3,38915717,"implicit","ok",0.3718,77.8,3333,1461.86209281722,TRUE,0,2,78,259974,22221111,11365508,TRUE,0
"cloud","clustered",8,10000,"none",Inf,3,38915717,"lazy","ok",0.6375,77.6,3333,1461.86209281722,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","clustered",8,10000,"none",Inf,3,38915717,"dense","ok",1.3316,705.3,3333,1461.86209281722,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","clustered",8,10000,"none",Inf,4,38915718,"implicit","ok",0.4013,77.8,3333,1642.56026759553,TRUE,0,2,78,259974,22221111,12501151,TRUE,0
"cloud","clustered",8,10000,"none",Inf,4,38915718,"lazy","ok",0.6587,77.6,3333,1642.56026759553,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","clustered",8,10000,"none",Inf,4,38915718,"dense","ok",1.3303,705.3,3333,1642.56026759553,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","clustered",8,10000,"none",Inf,5,38915719,"implicit","ok",0.3529,77.8,3333,1421.8265052838,TRUE,0,2,78,259974,22221111,10340761,TRUE,0
"cloud","clustered",8,10000,"none",Inf,5,38915719,"lazy","ok",0.6401,77.6,3333,1421.8265052838,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","clustered",8,10000,"none",Inf,5,38915719,"dense","ok",1.3472,600.7,3333,1421.8265052838,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","shifted",8,10000,"none",Inf,1,1550417962,"implicit","ok",5.0621,77.8,3333,11986.5500743769,TRUE,0,7,78,680398,22221111,131441645,TRUE,0
"cloud","shifted",8,10000,"none",Inf,1,1550417962,"lazy","ok",56.1963,77.6,3333,11986.5500743769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","shifted",8,10000,"none",Inf,1,1550417962,"dense","ok",6.21,705.3,3333,11986.5500743769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","shifted",8,10000,"none",Inf,2,1550417963,"implicit","ok",5.1663,77.8,3333,12242.3023396584,TRUE,0,7,78,685746,22221111,133502221,TRUE,0
"cloud","shifted",8,10000,"none",Inf,2,1550417963,"lazy","ok",52.3933,77.6,3333,12242.3023396584,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","shifted",8,10000,"none",Inf,2,1550417963,"dense","ok",5.8637,705.3,3333,12242.3023396584,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","shifted",8,10000,"none",Inf,3,1550417964,"implicit","ok",5.1896,77.8,3333,12240.5145428896,TRUE,0,7,78,690616,22221111,132231658,TRUE,0
"cloud","shifted",8,10000,"none",Inf,3,1550417964,"lazy","ok",53.848,77.6,3333,12240.5145428896,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","shifted",8,10000,"none",Inf,3,1550417964,"dense","ok",6.0174,600.7,3333,12240.5145428896,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","shifted",8,10000,"none",Inf,4,1550417965,"implicit","ok",4.9804,77.8,3333,12171.9871240547,TRUE,0,7,78,688717,22221111,131509675,TRUE,0
"cloud","shifted",8,10000,"none",Inf,4,1550417965,"lazy","ok",50.5169,77.6,3333,12171.9871240547,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","shifted",8,10000,"none",Inf,4,1550417965,"dense","ok",5.7187,705.3,3333,12171.9871240547,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","shifted",8,10000,"none",Inf,5,1550417966,"implicit","ok",5.105,77.8,3333,12076.6469454734,TRUE,0,7,78,684325,22221111,129544248,TRUE,3.63797880709171e-12
"cloud","shifted",8,10000,"none",Inf,5,1550417966,"lazy","ok",53.3703,77.6,3333,12076.6469454734,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","shifted",8,10000,"none",Inf,5,1550417966,"dense","ok",5.9376,600.7,3333,12076.6469454734,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","lattice_ties",8,10000,"none",Inf,1,1458030463,"implicit","ok",1.1774,77.8,3333,3994.03222391775,TRUE,0,2,78,259974,22221111,39867390,TRUE,0
"cloud","lattice_ties",8,10000,"none",Inf,1,1458030463,"lazy","ok",1.8714,77.6,3333,3994.03222391775,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","lattice_ties",8,10000,"none",Inf,1,1458030463,"dense","ok",1.4564,705.3,3333,3994.03222391775,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","lattice_ties",8,10000,"none",Inf,2,1458030464,"implicit","ok",1.169,77.8,3333,4066.7096197128,TRUE,0,2,78,259974,22221111,39523103,TRUE,0
"cloud","lattice_ties",8,10000,"none",Inf,2,1458030464,"lazy","ok",1.9809,77.6,3333,4066.7096197128,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","lattice_ties",8,10000,"none",Inf,2,1458030464,"dense","ok",1.4551,705.3,3333,4066.7096197128,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","lattice_ties",8,10000,"none",Inf,3,1458030465,"implicit","ok",1.1696,77.8,3333,4017.3494345433,TRUE,0,2,78,259974,22221111,39629906,TRUE,0
"cloud","lattice_ties",8,10000,"none",Inf,3,1458030465,"lazy","ok",1.9202,77.6,3333,4017.3494345433,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","lattice_ties",8,10000,"none",Inf,3,1458030465,"dense","ok",1.4585,705.3,3333,4017.3494345433,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","lattice_ties",8,10000,"none",Inf,4,1458030466,"implicit","ok",1.1652,77.8,3333,4049.34938185215,TRUE,0,2,78,259974,22221111,39665637,TRUE,0
