"tier","regime","pattern","n_rows","n_cols","method","auto_method","auto_rule","instances","median_s","q25_s","q75_s"
"base","heavy_tailed","none",500,1500,"auto","jv","default",3,0.003776387,0.003754001,0.003822471
"base","heavy_tailed","none",500,500,"auto","jv","default",3,0.003626163,0.0036142935,0.0038171205
"base","heavy_tailed","none",500,5000,"auto","jv","default",3,0.01142768,0.011408885,0.011514395
"base","heavy_tailed","random_01",500,1500,"auto","jv","default",3,0.003798322,0.0037818605,0.0044044045
"base","heavy_tailed","random_01",500,500,"auto","jv","default",3,0.00758049,0.007445805,0.008128988
"base","heavy_tailed","random_01",500,5000,"auto","jv","default",3,0.01651029,0.014406395,0.016543805
"base","heavy_tailed","random_05",500,1500,"auto","jv","default",3,0.00538002,0.004758419,0.0053954565
"base","heavy_tailed","random_05",500,500,"auto","jv","default",3,0.007943299,0.0077799345,0.0090263145
"base","heavy_tailed","random_05",500,5000,"auto","jv","default",3,0.01771483,0.015599085,0.01773502
"base","heavy_tailed","random_25",500,1500,"auto","jv","default",3,0.007457695,0.0074380355,0.007507961
"base","heavy_tailed","random_25",500,500,"auto","jv","default",3,0.01008026,0.0087769315,0.01037294
"base","heavy_tailed","random_25",500,5000,"auto","jv","default",3,0.02374917,0.02370612,0.024631405
"base","heavy_tailed","random_60",500,1500,"auto","jv","default",3,0.008555839,0.008170849,0.008595445
"base","heavy_tailed","random_60",500,500,"auto","jv","default",3,0.008866168,0.0088260085,0.009437009
"base","heavy_tailed","random_60",500,5000,"auto","jv","default",3,0.02546649,0.025181215,0.02643284
"base","int_uniform","block_4",500,1500,"auto","jv","default",3,0.003803775,0.0037250755,0.0042840285
"base","int_uniform","block_4",500,500,"auto","jv","default",3,0.004072817,0.003926775,0.004512829
"base","int_uniform","block_4",500,5000,"auto","jv","default",3,0.01533986,0.0136743,0.01543941
"base","int_uniform","none",500,1500,"auto","jv","default",3,0.00482119,0.0047520025,0.004827709
"base","int_uniform","none",500,500,"auto","jv","default",3,0.004643988,0.0042468005,0.004700322
"base","int_uniform","none",500,5000,"auto","jv","default",3,0.01407903,0.014016895,0.014116175
"base","int_uniform","random_01",500,1500,"auto","jv","default",3,0.003771672,0.003729278,0.0043829205
"base","int_uniform","random_01",500,500,"auto","jv","default",3,0.005521347,0.005388138,0.005976816
"base","int_uniform","random_01",500,5000,"auto","jv","default",3,0.01238704,0.01236154,0.01468257
"base","int_uniform","random_05",500,1500,"auto","jv","default",3,0.005355297,0.004761166,0.0053570395
"base","int_uniform","random_05",500,500,"auto","jv","default",3,0.007150482,0.006959217,0.0074393885
