"tier","regime","pattern","n_rows","n_cols","instance","seed","method","rep","seconds","status","total_cost","n_matched","auto_method","auto_rule","cost_type","distribution","metric","components","finite_share"
"base","int_uniform","random_60",500,500,2,532951459,"sap_dense",2,0.02090873,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"sap_dense",3,0.02105174,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"lapmod",1,0.01444373,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"lapmod",2,0.01405349,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"lapmod",3,0.01376665,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"ramshaw_tarjan",1,0.02243725,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"ramshaw_tarjan",2,0.02177022,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"ramshaw_tarjan",3,0.02176616,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"hungarian",1,0.01037411,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"hungarian",2,0.009695106,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"hungarian",3,0.009663249,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"auction_scaled",1,0.00997489,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"auction_scaled",2,0.009176825,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"auction_scaled",3,0.009125206,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"csa",1,0.01058878,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"csa",2,0.009665053,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"csa",3,0.009515813,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"csflow",1,0.01780692,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"csflow",2,0.01628598,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"csflow",3,0.01614055,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"network_simplex",1,0.08812999,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"network_simplex",2,0.08522777,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
