"tier","regime","pattern","n_rows","n_cols","instance","seed","method","rep","seconds","status","total_cost","n_matched","objective","duality_gap","max_suboptimality","certified_optimal","primal_feasible","all_rows_matched","structurally_valid","auto_method","auto_rule","cost_type","distribution","metric","components","finite_share"
"base","int_uniform","none",500,500,2,75350317,"ramshaw_tarjan",1,0.01537381,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"ramshaw_tarjan",2,0.01481806,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"ramshaw_tarjan",3,0.01453155,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"ramshaw_tarjan",4,0.01474499,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"ramshaw_tarjan",5,0.01450158,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"hungarian",1,0.008872769,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"hungarian",2,0.00853579,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"hungarian",3,0.008374988,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"hungarian",4,0.008778141,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"hungarian",5,0.008379293,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auction",1,0.01166889,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auction",2,0.009659969,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auction",3,0.009180638,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auction",4,0.009531024,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auction",5,0.009219588,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
